,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5113,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-01,0.6,130.0,-7.4,-15.7
5114,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-02,0.0,140.0,-7.4,-13.1
5115,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-03,0.0,140.0,-12.1,-19.1
5116,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-04,0.0,140.0,-10.5,-20.6
5117,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-05,0.0,140.0,-7.8,-17.8
5118,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-06,0.0,130.0,-7.6,-12.6
5119,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-07,0.0,130.0,-6.7,-17.5
5120,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-08,0.0,130.0,1.3,-7.4
5121,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-09,0.0,100.0,2.9,-0.6
5122,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-10,0.0,60.0,2.4,-5.2
5123,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-11,0.0,40.0,-1.0,-9.4
5124,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-12,0.0,40.0,-1.8,-9.6
5125,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-13,0.0,40.0,2.3,-8.6
5126,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-14,0.0,40.0,2.2,-3.6
5127,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-15,0.5,40.0,1.3,-5.6
5128,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-16,2.4,30.0,1.9,-4.0
5129,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-17,0.0,10.0,2.2,1.0
5130,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-18,0.0,10.0,1.4,-3.0
5131,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-19,0.2,10.0,3.2,-3.0
5132,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-20,1.8,10.0,5.9,1.8
5133,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-01-21,0.0,0.0,3.0,0.8
