Gefahrenbereich_ID,Unfall_ID_FK,Baustelle_ID_FK
1,538,3
2,922,3
3,1185,3
4,1688,3
5,14409,3
6,14675,3
7,15307,3
8,27439,3
9,27849,3
10,48877,3
11,49212,3
12,49875,3
13,50104,3
14,91,4
15,1611,4
16,1796,4
17,14985,4
18,15076,4
19,19208,4
20,27746,4
21,5207,5
22,32929,5
23,1948,10
24,2454,10
25,3067,10
26,4837,10
27,5011,10
28,6527,10
29,9040,10
30,9664,10
31,10072,10
32,10243,10
33,10855,10
34,11997,10
35,12178,10
36,12705,10
37,13097,10
38,13323,10
39,17834,10
40,18429,10
41,19817,10
42,20599,10
43,21525,10
44,21810,10
45,21812,10
46,23604,10
47,24175,10
48,24988,10
49,28871,10
50,31011,10
51,38476,10
52,39630,10
53,40241,10
54,42302,10
55,43233,10
56,44285,10
57,44885,10
58,46060,10
59,47415,10
60,48238,10
61,48355,10
62,3556,12
63,4989,12
64,7897,12
65,9824,12
66,10944,12
67,16083,12
68,30043,12
69,32701,12
70,33613,12
71,36162,12
72,39003,12
73,40849,12
74,41150,12
75,41967,12
76,44591,12
77,45963,12
78,47450,12
79,48512,12
80,2220,14
81,4054,14
82,5136,14
83,6299,14
84,7422,14
85,8678,14
86,9079,14
87,10434,14
88,11758,14
89,17144,14
90,17149,14
91,17190,14
92,17239,14
93,18127,14
94,19194,14
95,21151,14
96,21533,14
97,21705,14
98,22414,14
99,23473,14
100,23475,14
101,23958,14
102,25011,14
103,29124,14
104,32246,14
105,33668,14
106,35003,14
107,37014,14
108,37872,14
109,38406,14
110,39970,14
111,40786,14
112,42273,14
113,42507,14
114,43434,14
115,44312,14
116,45981,14
117,47431,14
118,47878,14
119,7217,15
120,9288,15
121,12440,15
122,12771,15
123,19454,15
124,20646,15
125,21818,15
126,24250,15
127,36091,15
128,38942,15
129,39105,15
130,41212,15
131,47037,15
132,4986,16
133,10520,16
134,12519,16
135,18986,16
136,26279,16
137,42344,16
138,2891,18
139,20761,18
140,21841,18
141,26766,18
142,30994,18
143,35159,18
144,35872,18
145,38616,18
146,9772,19
147,25604,19
148,44731,19
149,7693,20
150,9772,20
151,24379,20
152,25604,20
153,3475,21
154,6548,21
155,9954,21
156,11543,21
157,18060,21
158,18491,21
159,29093,21
160,30944,21
161,37138,21
162,39267,21
163,39949,21
164,41634,21
165,41644,21
166,42399,21
167,42746,21
168,43118,21
169,47740,21
170,47916,21
171,9996,22
172,10636,22
173,13610,22
174,13841,22
175,14375,22
176,14454,22
177,15032,22
178,22930,22
179,23012,22
180,23841,22
181,27029,22
182,33042,22
183,33175,22
184,34417,22
185,35450,22
186,36589,22
187,46148,22
188,47091,22
189,49294,22
190,49622,22
191,6328,23
192,26837,23
193,16766,24
194,21392,24
195,23399,24
196,30695,24
197,37919,24
198,45047,24
199,136,25
200,210,25
201,433,25
202,496,25
203,636,25
204,653,25
205,1000,25
206,1092,25
207,1124,25
208,1163,25
209,1300,25
210,1374,25
211,1398,25
212,1481,25
213,1623,25
214,1681,25
215,1791,25
216,1859,25
217,13759,25
218,13882,25
219,14010,25
220,14192,25
221,14207,25
222,14219,25
223,14559,25
224,14623,25
225,14855,25
226,14863,25
227,14934,25
228,15071,25
229,15100,25
230,15343,25
231,15374,25
232,15458,25
233,27079,25
234,27379,25
235,27567,25
236,27575,25
237,27625,25
238,27699,25
239,27777,25
240,27807,25
241,27875,25
242,27882,25
243,28015,25
244,28263,25
245,28304,25
246,28382,25
247,28409,25
248,28469,25
249,29690,25
250,32249,25
251,42720,25
252,45901,25
253,48867,25
254,48929,25
255,49726,25
256,49964,25
257,3212,27
258,3753,27
259,8111,27
260,12879,27
261,18380,27
262,21777,27
263,22675,27
264,30058,27
265,31878,27
266,48520,27
267,35379,28
268,22660,29
269,7351,30
