Planungsraum_ID,Planungsraum,Bezirksregion_ID_FK,Koordinaten
01100101,Stülerstraße,011001,
01100102,Großer Tiergarten,011001,
01100103,Lützowstraße,011001,
01100104,Körnerstraße,011001,
01100205,Wilhelmstraße,011002,
01100206,Unter den Linden,011002,
01100207,Leipziger Straße,011002,
01100308,Charitéviertel,011003,
01100309,Oranienburger Straße,011003,
01100310,Alexanderplatzviertel,011003,
01100311,Karl-Marx-Allee,011003,
01100312,Heine-Viertel West,011003,
01100313,Heine-Viertel Ost,011003,
01100414,Nordbahnhof,011004,
01100415,Invalidenstraße,011004,
01100416,Arkonaplatz,011004,
01200517,Huttenkiez,012005,
01200518,Beusselkiez,012005,
01200519,Emdener Straße,012005,
01200520,Bremer Straße,012005,
01200521,Zwinglistraße,012005,
01200522,Elberfelder Straße,012005,
01200623,Stephankiez,012006,
01200624,Heidestraße,012006,
01200625,Lübecker Straße,012006,
01200626,Thomasiusstraße,012006,
01200627,Zillesiedlung,012006,
01200628,Lüneburger Straße,012006,
01200629,Hansaviertel,012006,
01300730,Drontheimer Straße,013007,
01300731,Koloniestraße,013007,
01300732,Soldiner Straße,013007,
01300733,Gesundbrunnen,013007,
01300834,Brunnenstraße,013008,
01300835,Humboldthain Süd,013008,
01300836,Humboldthain Nordwest,013008,
01400937,Afrikanische Straße,014009,
01400938,Kameruner Straße,014009,
01400939,Glasgower Straße,014009,
01400940,Schillerpark,014009,
01400941,Londoner Straße,014009,
01400942,Westliche Müllerstraße,014009,
01401043,Antonstraße,014010,
01401044,Uferstraße,014010,
01401045,Schwedenstraße,014010,
01401046,Nordufer,014010,
01401047,Sparrplatz,014010,
01401048,Leopoldplatz,014010,
01401049,Schulstraße,014010,
02100101,Askanischer Platz,021001,
02100102,Mehringplatz,021001,
02100103,Am Berlin Museum,021001,
02100104,Moritzplatz,021001,
02100105,Prinzenstraße,021001,
02100106,Wassertorplatz,021001,
02200207,Gleisdreieck,022002,
02200208,Rathaus Yorckstraße,022002,
02200209,Viktoriapark,022002,
02200210,Urbanstraße,022002,
02200211,Chamissokiez,022002,
02200212,Graefekiez Süd,022002,
02200213,Graefekiez Nord,022002,
02300314,Oranienplatz,023003,
02300315,Lausitzer Platz,023003,
02300316,Köpenicker Straße,023003,
02300417,Reichenberger Straße West,023004,
02300418,Reichenberger Straße Ost,023004,
02300419,Wrangelkiez,023004,
02400520,Barnimkiez,024005,
02400521,Friedenstraße,024005,
02400522,Richard-Sorge-Viertel,024005,
02400623,Andreasviertel,024006,
02400624,Weberwiese,024006,
02400625,Wriezener Bahnhof,024006,
02500726,Hausburgviertel,025007,
02500727,Forckenbeckplatz,025007,
02500728,Samariterviertel,025007,
02500729,Pettenkofer Straße,025007,
02500830,Niederbarnimstraße,025008,
02500831,Wismarplatz,025008,
02500832,Traveplatz,025008,
02500833,Boxhagener Platz,025008,
02500834,Revaler Straße,025008,
02500835,Stralauer Kiez,025008,
02500836,Stralauer Halbinsel,025008,
03100101,Bucher Forst,031001,
03100102,Klinikum Buch,031001,
03100103,Karower Chaussee,031001,
03200204,Blankenfelde,032002,
03200205,Uhlandstraße,032002,
03200206,Pastor-Niemöller-Platz,032002,
03200207,Herthaplatz,032002,
03200308,Nisbléstraße,032003,
03200309,Eddastraße,032003,
03200310,Krugpfuhl,032003,
03300411,Karow Nord,033004,
03300412,Karow Bahnhof,033004,
03300413,Karow Ost,033004,
03300514,Blankenburg,033005,
03300515,Blankenburger Süden,033005,
03300516,Heinersdorf,033005,
03300517,Märchenland,033005,
03400618,Rosenthal,034006,
03400619,Wilhelmsruh,034006,
03400620,Schönholz,034006,
03400721,Florakiez,034007,
03400722,Parkstraße,034007,
03400723,Garbátyplatz,034007,
03400724,Wolfshagener Straße,034007,
03400725,Schlosspark,034007,
03400826,Tiroler Viertel,034008,
03400827,Trelleborger Viertel,034008,
03400828,Spiekermann Straße,034008,
03400829,Arnold-Zweig-Straße,034008,
03400830,Kissingenviertel,034008,
03400831,Pankower Tor,034008,
03500932,Bühringstraße,035009,
03500933,Weißer See,035009,
03500934,Weißenseer Spitze,035009,
03500935,Behaimstraße,035009,
03500936,Komponistenviertel Weißensee,035009,
03501037,Rathaus Weißensee,035010,
03501038,Hansastraße,035010,
03601139,Norweger Viertel,036011,
03601140,Malmöer Straße,036011,
03601141,Arnimplatz,036011,
03601142,Falkplatz,036011,
03601243,Rodenbergstraße,036012,
03601244,Humannplatz,036012,
03601245,Ostseestraße,036012,
03601346,Gethsemanekirche,036013,
03601347,Helmholtzplatz,036013,
03601348,Senefelderstraße,036013,
03601449,Michelangelostraße,036014,
03601450,Volkspark Prenzlauer Berg,036014,
03601451,Anton-Saefkow-Park,036014,
03601452,Velodrom,036014,
03601453,Alter Schlachthof,036014,
03701554,Teutoburger Platz,037015,
03701555,Sredzkistraße,037015,
03701556,Kollwitzplatz,037015,
03701657,Thälmannpark,037016,
03701658,Christburger Straße,037016,
03701659,Immanuelkirchstraße,037016,
03701660,Bötzowstraße,037016,
04100101,Jungfernheide/Plötzensee,041001,
04100102,Paul-Hertz-Siedlung,041001,
04200203,Olympiagelände,042002,
04200204,Angerburger Allee,042002,
04200205,Flatowallee,042002,
04200206,Kranzallee,042002,
04200207,Eichkamp,042002,
04200308,Branitzer Platz,042003,
04200309,Neu Westend,042003,
04200310,Fürstenplatz,042003,
04200311,Königin-Elisabeth-Straße,042003,
04300412,Schlossgarten,043004,
04300413,Klausenerplatz,043004,
04300414,Schloßstraße,043004,
04300415,Lietzensee,043004,
04300416,Amtsgerichtsplatz,043004,
04300517,Tegeler Weg,043005,
04300518,Kaiserin-Augusta-Allee,043005,
04300619,Alt-Lietzow,043006,
04300620,Spreestadt,043006,
04300621,Richard-Wagner-Straße,043006,
04300622,Ernst-Reuter-Platz,043006,
04300623,Karl-August-Platz,043006,
04300624,Savignyplatz,043006,
04400725,Güterbahnhof Grunewald,044007,
04400726,Bismarckallee,044007,
04400727,Flinsberger Platz,044007,
04400728,Hagenplatz,044007,
04400729,Hundekehle,044007,
04400830,Forckenbeckstraße,044008,
04400831,Messelpark,044008,
04400832,Breite Straße,044008,
04400833,Schlangenbader Straße,044008,
04400834,Binger Straße,044008,
04400835,Rüdesheimer Platz,044008,
04500936,Droysenstraße,045009,
04500937,Halensee,045009,
04500938,Hochmeisterplatz,045009,
04500939,Eisenzahnstraße,045009,
04501040,Hindemithplatz,045010,
04501041,George-Grosz-Platz,045010,
04501042,Breitscheidplatz,045010,
04501043,Preußenpark,045010,
04501044,Ludwigkirchplatz,045010,
04501045,Schaperstraße,045010,
04501146,Barstraße,045011,
04501147,Leon-Jessel-Platz,045011,
04501148,Brabanter Platz,045011,
04501149,Nikolsburger Platz,045011,
04501150,Wilhelmsaue,045011,
04501151,Hildegardstraße,045011,
04501152,Prager Platz,045011,
04501153,Babelsberger Straße,045011,
05100101,Hakenfelde Nord,051001,
05100102,Am Forstacker,051001,
05100103,Mertensstraße,051001,
05100104,Maselake,051001,
05100105,Amorbacher Weg,051001,
05100206,Griesingerstraße,051002,
05100207,An der Tränke,051002,
05100208,Im Spektefeld,051002,
05100209,Westerwaldstraße,051002,
05100210,Germersheimer Platz,051002,
05100211,An der Kappe,051002,
05100312,Eckschanze,051003,
05100313,Eiswerder,051003,
05100314,Kurstraße,051003,
05100315,Ackerstraße,051003,
05100316,Carl-Schurz-Straße,051003,
05100317,Freiheit,051003,
05200418,Isenburger Weg,052004,
05200419,Am Heideberg,052004,
05200420,Staakener Straße,052004,
05200421,Spandauer Straße,052004,
05200422,Werkstraße,052004,
05200423,Magistratsweg,052004,
05200524,Döberitzer Weg,052005,
05200525,Pillnitzer Weg,052005,
05200526,Rudolf-Wissell-Großsiedlung,052005,
05200527,Maulbeerallee,052005,
05200528,Weinmeisterhornweg,052005,
05200629,Borkumer Straße,052006,
05200630,Wilhelmstadt West,052006,
05200631,Wilhelmstadt Ost,052006,
05200632,Tiefwerder,052006,
05200633,Graetschelsteig,052006,
05200634,Börnicker Straße,052006,
05300735,Haveleck,053007,
05300736,Zitadellenweg,053007,
05300737,Gartenfelder Straße,053007,
05300838,Gartenfeld,053008,
05300839,Rohrdamm,053008,
05300840,Nonnendammallee,053008,
05300841,Siemensdamm,053008,
05400942,Alt-Gatow,054009,
05400943,Jägerallee,054009,
05400944,Kladower Damm,054009,
05400945,Kafkastraße,054009,
06100101,Fichtenberg,061001,
06100102,Schloßstraße,061001,
06100103,Markelstraße,061001,
06100204,Munsterdamm,061002,
06100205,Südende,061002,
06100206,Stadtpark,061002,
06100207,Mittelstraße,061002,
06100208,Bergstraße,061002,
06100209,Feuerbachstraße,061002,
06100210,Bismarckstraße,061002,
06200311,Alt-Lankwitz,062003,
06200312,Komponistenviertel Lankwitz,062003,
06200313,Lankwitz Kirche,062003,
06200314,Kaiser-Wilhelm-Straße,062003,
06200315,Gallwitzallee,062003,
06200316,Belßstraße,062003,
06200317,Lankwitz Süd,062003,
06200418,Landweg,062004,
06200419,Thermometersiedlung,062004,
06200420,Lichterfelde Süd,062004,
06200421,Königsberger Straße,062004,
06200422,Oberhofer Platz,062004,
06200423,Schütte-Lanz-Straße,062004,
06300524,Berlepschstraße,063005,
06300525,Zehlendorf Süd,063005,
06300526,Zehlendorf Mitte,063005,
06300527,Sundgauer Straße,063005,
06300528,Teltower Damm,063005,
06300629,Botanischer Garten,063006,
06300630,Hindenburgdamm,063006,
06300631,Goerzwerke,063006,
06300632,Schweizer Viertel,063006,
06300633,Augustaplatz,063006,
06300634,Lichterfelde West,063006,
06400735,Wannsee,064007,
06400736,Düppel,064007,
06400737,Nikolassee,064007,
06400838,Krumme Lanke,064008,
06400839,Fischerhüttenstraße,064008,
06400840,Fischtal,064008,
