Unfall_ID,Planungsraum_ID_FK,Unfallkategorie_ID_FK,Zeit_ID_FK_in_Unfaelle,Unfallart_ID_FK,Unfalltyp_ID_FK,Lichtverhaeltnisse_ID_FK,Strassenzustand_ID_FK,X-Koordinate,Y-Koordinate
1,02500729,3,108,7,4,1,2,13.4750178,52.51359681
2,12500824,3,78,3,6,1,1,13.29102205,52.58725906
3,02400520,3,65,7,4,1,1,13.42057818,52.52601854
4,07200308,3,120,7,7,3,1,13.34828776,52.48184447
5,03200206,3,108,7,7,2,2,13.40322797,52.58347154
6,10100208,2,36,3,6,3,1,13.54844656,52.5510946
7,04200207,3,120,3,6,3,2,13.25639043,52.48571541
8,03100101,3,116,3,6,3,2,13.42725182,52.63382261
9,01100310,3,99,7,4,1,1,13.41142938,52.51893299
10,12100205,3,153,1,1,3,2,13.35020475,52.57388905
11,01100310,3,121,3,6,3,2,13.41842748,52.52360287
12,07400823,3,115,3,6,3,2,13.37773011,52.47010259
13,03701660,3,81,6,2,1,2,13.43218628,52.53525526
14,02500729,3,57,6,2,1,1,13.47089659,52.51417313
15,01100207,3,136,6,7,3,2,13.39467345,52.51084845
16,03601449,3,46,6,2,3,1,13.44458831,52.54560285
17,09200613,2,129,6,3,3,2,13.50637217,52.45899296
18,05200528,3,112,6,3,1,1,13.17815056,52.51609207
19,07400823,3,93,4,6,1,1,13.37743615,52.47011861
20,02400625,3,83,7,4,1,1,13.44855444,52.50495533
21,01100102,3,58,6,3,1,2,13.3730303,52.5159128
22,12500824,3,54,1,7,2,2,13.28410402,52.5970472
23,07501133,3,106,1,3,1,1,13.37924233,52.43630206
24,03601142,3,74,7,2,1,2,13.41247778,52.54097318
25,03500934,3,66,2,5,1,2,13.42998793,52.55367547
26,07400825,2,7,3,6,3,1,13.38449562,52.45312998
27,03601142,3,101,1,6,1,2,13.41364244,52.54813473
28,01100310,2,122,3,6,3,2,13.41857706,52.5237397
29,01300836,3,159,3,6,3,1,13.36833544,52.54111108
30,01100310,3,65,3,6,1,1,13.41162064,52.51893645
31,01100310,3,123,4,6,3,2,13.41121885,52.51878227
32,12400723,3,51,7,2,2,3,13.31641633,52.61708257
33,04100101,3,98,3,6,1,1,13.28887346,52.53276686
34,01100310,3,85,6,3,1,1,13.41769328,52.52344572
35,04300414,3,136,3,6,3,1,13.30039993,52.51108677
36,03601451,3,57,7,4,1,1,13.43353746,52.53611592
37,02500727,3,60,6,3,1,2,13.45367006,52.51883086
38,04100101,3,43,3,6,2,1,13.29842668,52.54686536
39,02400521,2,60,6,3,1,2,13.43652747,52.51764211
40,07200411,1,44,6,2,3,2,13.35718628,52.48690005
41,03400830,3,109,7,3,1,1,13.42790784,52.56817242
42,07400927,3,134,4,6,3,1,13.38676944,52.46998979
43,03200309,3,160,3,6,3,1,13.44566793,52.59762124
44,03400826,3,135,3,6,3,1,13.41358859,52.55858737
45,03701660,3,82,2,5,1,1,13.42850921,52.53209046
46,04400726,3,71,4,6,1,1,13.28328727,52.49709232
47,12400721,3,87,3,6,1,2,13.30229234,52.64245276
48,07501133,3,65,7,4,1,2,13.38761144,52.43899811
49,07300619,2,116,6,3,1,2,13.35323275,52.47970452
50,07501133,2,73,6,3,1,2,13.37594587,52.42985299
51,03601451,3,126,4,6,3,1,13.43348954,52.53584246
52,01100310,3,44,6,3,3,1,13.41771871,52.52346813
53,04400725,3,113,3,6,3,1,13.28145524,52.49885011
54,04400726,3,136,4,6,3,2,13.28857229,52.49420221
55,04100101,3,159,3,6,3,1,13.28877063,52.53274473
56,06100101,3,120,3,6,3,1,13.31739335,52.45403539
57,04400725,3,123,3,6,3,1,13.28223853,52.49776429
58,02500727,2,76,6,3,1,1,13.46025955,52.51509809
59,07501133,3,141,1,1,3,3,13.39103313,52.43207457
60,01100205,3,115,3,6,3,2,13.3814641,52.50983334
61,04200308,3,74,4,6,1,2,13.28278069,52.52871325
62,07501030,3,106,3,6,2,1,13.38491553,52.44984708
63,03601451,2,58,7,4,1,1,13.43395303,52.53716546
64,04200311,3,81,3,6,1,1,13.28361836,52.51740341
65,07200308,3,44,7,2,3,2,13.35225844,52.48004673
66,10100103,2,28,2,5,3,1,13.56261332,52.56705917
67,07501133,2,142,7,2,3,2,13.38025961,52.43769417
68,07400822,3,136,3,6,3,2,13.36534305,52.47302409
69,06300629,2,128,7,4,3,2,13.31120027,52.45203552
70,10400837,3,109,6,2,1,1,13.57994696,52.505079
71,09200613,3,57,6,2,1,1,13.51090542,52.45581365
72,12400723,3,46,6,2,1,2,13.31132041,52.62762084
73,07400720,3,159,3,6,3,1,13.38580817,52.48226095
74,02500729,3,143,7,2,3,2,13.46759778,52.51435211
75,01100310,3,167,7,7,3,1,13.41085944,52.51854444
76,10300733,3,66,4,6,1,2,13.56203103,52.50843719
77,07400824,3,96,6,2,1,1,13.38574109,52.46947297
78,01100102,2,58,7,4,1,1,13.37472125,52.50926632
79,09100101,3,122,1,4,3,1,13.45780719,52.49162011
80,02500729,2,65,7,4,1,2,13.47349649,52.51376294
81,12100205,3,47,6,3,3,2,13.34550162,52.58081839
82,06400737,3,433,6,2,1,1,13.21469962,52.42753172
83,01100310,3,1807,4,6,3,1,13.41593143,52.52219952
84,07200308,3,1313,6,2,1,1,13.35213303,52.48010314
85,01100206,3,1671,2,5,3,1,13.39462387,52.51731745
86,02400521,3,1290,3,6,1,1,13.42904261,52.51842753
87,02500728,2,638,4,6,1,1,13.46511441,52.51475407
88,03100101,3,619,3,6,1,1,13.43890139,52.6184162
89,10300733,2,773,6,3,1,1,13.55628531,52.50882799
90,07501133,3,1741,6,3,1,1,13.38751112,52.43898116
91,06400735,3,1913,1,3,1,2,13.15736973,52.41925252
92,07501133,3,1446,3,6,1,1,13.38726562,52.44016438
93,04400726,3,1230,3,6,1,1,13.28861273,52.49407904
94,07501133,3,922,3,6,1,1,13.37594916,52.42986014
95,02500830,3,1165,1,1,3,1,13.4534913,52.51502475
96,01400940,3,724,6,3,1,1,13.36525867,52.55807966
97,03100101,3,467,1,3,1,1,13.43245097,52.62253125
98,02500835,3,1780,7,7,1,1,13.44729412,52.50259525
99,03200309,3,924,10,1,1,2,13.44230639,52.61537872
100,04400830,2,2013,9,1,3,2,13.30214736,52.48661056
101,12601031,3,1630,7,7,1,1,13.33058211,52.60122543
102,03601449,3,1299,3,6,1,1,13.44717465,52.54678012
103,07100206,3,654,3,6,3,1,13.36069776,52.49088684
104,07601236,3,462,6,2,1,1,13.36178399,52.41364202
105,02500729,3,774,3,6,1,1,13.4679036,52.51432187
106,12100101,3,1558,3,6,3,2,13.36447875,52.5622443
107,02500727,3,481,6,2,3,1,13.45378434,52.5157643
108,07400927,3,1724,4,6,2,1,13.39456752,52.46733793
109,01400940,3,1414,6,3,1,1,13.36550149,52.55797126
110,07501030,3,1300,6,3,1,1,13.38654429,52.44208694
111,12100101,3,925,3,6,1,1,13.36458779,52.56162367
112,10400837,2,1100,3,6,1,1,13.58616073,52.50502846
113,06300527,3,912,6,2,1,1,13.27147604,52.4382703
114,10400837,3,1250,1,1,1,1,13.5893595,52.50498403
115,02400522,3,802,7,4,1,1,13.44679225,52.51660582
116,08200624,3,550,3,6,1,1,13.43240248,52.46217858
117,12100101,3,1906,6,2,1,2,13.36501121,52.56054059
118,09100305,3,1434,4,6,1,1,13.4898835,52.46998778
119,01100310,2,1379,10,1,2,1,13.40514725,52.52007606
120,01100104,3,1076,1,1,1,1,13.36802711,52.50574015
121,02500727,3,1119,10,1,1,1,13.45341896,52.5181094
122,03601142,3,395,3,6,1,2,13.41196655,52.54104049
123,02400625,3,803,1,6,1,1,13.44859924,52.50502827
124,07601236,3,1607,6,3,1,1,13.36178646,52.41364489
125,02500727,3,481,6,2,3,1,13.45378434,52.5157643
126,07400927,2,1769,4,6,1,2,13.40120994,52.46504192
127,07501030,3,1436,6,2,1,1,13.38601313,52.44396831
128,06400735,3,1308,3,6,1,1,13.15269333,52.41885022
129,03400723,3,996,10,1,3,1,13.40471687,52.5678022
130,01100310,3,1626,7,2,1,1,13.41151669,52.51865143
131,08100521,3,935,3,6,1,1,13.45492201,52.46240091
132,09100101,3,1286,6,2,1,1,13.45895361,52.49085826
133,07400927,3,580,1,7,1,1,13.40709308,52.46191667
134,11300724,3,643,3,6,1,1,13.48752583,52.51248961
135,03100101,3,929,3,6,1,1,13.43630979,52.62002078
136,03701657,3,1979,6,7,3,2,13.42428982,52.53927808
137,01100311,3,1464,6,3,2,2,13.42273301,52.52023483
138,01100102,3,1472,4,6,1,1,13.37346464,52.50916562
139,04200310,3,947,2,5,1,1,13.26581496,52.50896847
140,04200311,2,1175,4,7,3,1,13.28066465,52.50175346
141,07400927,3,763,3,6,1,1,13.3919909,52.46860645
142,02200208,3,397,7,6,1,1,13.38780284,52.49329165
143,02400625,3,1819,7,7,3,1,13.44865466,52.5051185
144,04400727,3,1606,3,6,1,1,13.29351933,52.49240641
145,07400824,3,1289,7,2,1,1,13.38551442,52.4700919
146,04200311,3,630,3,6,1,1,13.28145445,52.50453704
147,07400927,3,512,10,1,3,2,13.40293075,52.46393491
148,11300724,2,743,3,6,1,1,13.48810864,52.51242968
149,07501133,3,1662,6,2,3,1,13.39110836,52.43193989
150,12100101,3,460,6,3,2,1,13.36472555,52.56209019
151,03601142,3,1890,7,4,3,2,13.41197365,52.54113816
152,07400822,2,1473,3,1,1,1,13.36531297,52.47303791
153,02400520,3,1320,4,6,2,2,13.42308629,52.52752742
154,05200633,2,928,7,4,1,1,13.19129987,52.51418553
155,01300836,3,1122,1,7,1,1,13.36884623,52.54119318
156,07400824,3,453,3,6,1,1,13.38571487,52.46818781
157,04200308,3,1805,3,6,3,1,13.28167519,52.52168876
158,03400826,2,956,1,2,1,1,13.41356905,52.55860859
159,10100208,2,758,3,6,1,1,13.55429795,52.55756529
160,12100103,3,1995,3,6,3,2,13.36022075,52.57180971
161,04300621,2,1614,4,6,1,1,13.31386613,52.51215835
162,03400620,2,474,1,1,3,1,13.39822143,52.57101301
163,02100101,3,1114,6,3,1,1,13.38914389,52.49799442
164,04400830,3,576,4,6,1,1,13.30065802,52.48743993
165,04200310,3,1119,3,2,1,1,13.27108131,52.50927745
166,06400735,3,430,4,3,1,1,13.17081467,52.4207945
167,03501037,3,793,1,1,1,1,13.46673423,52.55930623
168,05400942,3,1604,5,6,1,1,13.14662831,52.49389638
169,04300414,3,396,3,6,1,1,13.28601312,52.51093714
170,02500728,3,1805,3,6,3,1,13.46188262,52.51507451
171,01100104,3,1468,7,6,1,1,13.36440379,52.5015952
172,03701660,3,1305,3,2,1,1,13.43220014,52.53526723
173,07200411,2,944,3,6,1,1,13.35963316,52.48957961
174,08100521,3,939,4,6,1,1,13.45616516,52.46460634
175,01100102,3,1241,3,6,1,1,13.34019406,52.5137587
