Unfallbeteiligung_ID,Unfall_ID_FK_in_Unfallbeteiligten,Unfallbeteiligten_ID_FK
1,1,2
2,1,3
3,2,2
4,3,2
5,3,3
6,4,2
7,4,3
8,5,1
9,5,3
10,6,2
11,7,2
12,8,2
13,9,2
14,9,3
15,10,4
16,11,2
17,12,2
18,13,1
19,13,2
20,14,1
21,14,2
22,15,1
23,15,2
24,16,2
25,17,1
26,17,2
27,18,2
28,19,2
29,19,5
30,20,1
31,20,3
32,21,1
33,21,2
34,22,4
35,23,2
36,24,3
37,25,2
38,25,5
39,26,2
40,27,4
41,28,2
42,29,2
43,30,2
44,31,2
45,32,2
46,32,3
47,33,2
48,34,1
49,35,2
50,36,1
51,36,3
52,37,1
53,37,2
54,38,2
55,39,1
56,39,2
57,40,1
58,40,5
59,41,2
60,41,3
61,42,2
62,43,2
63,44,2
64,45,1
65,45,2
66,46,2
67,47,2
68,48,2
69,48,3
70,49,1
71,49,2
72,50,1
73,50,2
74,51,4
75,52,1
76,52,2
77,53,2
78,54,2
79,55,2
80,55,5
81,56,2
82,57,2
83,58,1
84,58,2
85,59,4
86,60,4
87,61,2
88,61,5
89,62,2
90,63,2
91,63,3
92,64,2
93,65,2
94,65,3
95,66,2
96,66,5
97,67,2
98,67,3
99,68,2
100,69,2
101,69,3
102,70,1
103,70,2
104,71,1
105,71,2
106,72,1
107,72,2
108,73,2
109,74,2
110,74,3
111,75,2
112,75,3
113,76,2
114,76,5
115,77,2
116,78,2
117,78,3
118,79,3
119,80,2
120,80,3
121,81,2
122,82,2
123,83,1
124,83,2
125,84,1
126,84,2
127,85,1
128,85,2
129,86,2
130,87,1
131,88,2
132,89,1
133,89,2
134,90,2
135,91,2
136,91,4
137,92,2
138,92,4
139,93,2
140,94,2
141,95,4
142,96,2
143,97,2
144,98,3
145,99,2
146,100,2
147,101,2
148,101,3
149,102,2
150,103,1
151,103,2
152,104,1
153,104,2
154,105,2
155,105,4
156,106,2
157,107,2
158,107,4
159,108,5
160,109,2
161,110,1
162,110,2
163,111,2
164,112,2
165,113,2
166,114,4
167,115,1
168,115,3
169,116,2
170,117,2
171,118,2
172,119,2
173,120,4
174,121,1
175,122,2
176,123,1
177,123,3
178,124,1
179,124,2
180,125,2
181,126,2
182,126,5
183,127,2
184,127,4
185,128,2
186,128,4
187,129,2
188,130,2
189,130,3
190,131,2
191,132,2
192,133,2
193,134,2
194,135,2
195,136,1
196,136,2
197,137,1
198,138,2
199,138,4
200,139,1
201,139,2
202,140,2
203,140,4
204,141,2
205,142,1
206,142,3
207,143,1
208,143,3
209,144,2
210,145,2
211,145,3
212,146,2
213,147,2
214,148,2
215,149,2
216,150,1
217,150,2
218,151,1
219,151,3
220,152,2
221,153,1
222,153,2
223,154,2
224,154,3
225,155,1
226,156,2
227,157,2
228,158,1
229,158,2
230,159,2
231,159,4
232,160,2
233,161,2
234,161,4
235,162,1
236,163,2
237,164,2
238,165,2
239,166,2
240,167,4
241,168,1
242,169,2
243,170,2
244,171,1
245,171,3
246,172,1
247,172,4
248,173,1
249,173,2
250,174,2
251,174,4
252,175,2
253,175,4
254,176,2
255,177,1
256,177,3
257,178,1
258,179,1
259,179,3
260,180,2
261,181,1
262,181,2
263,182,1
264,182,2
265,183,2
266,183,3
267,184,2
268,185,1
269,185,2
270,186,1
271,186,2
272,187,2
273,188,2
274,188,4
275,189,1
276,189,2
277,190,2
278,191,2
279,192,1
280,192,2
281,193,2
282,193,5
283,194,2
284,195,2
285,196,2
286,197,2
287,198,4
288,199,1
289,199,2
290,200,2
291,200,3
292,201,1
293,201,3
294,202,2
295,202,4
296,203,2
297,204,1
298,204,2
299,205,1
300,205,2
301,206,1
302,206,2
303,207,1
304,207,3
305,208,2
306,208,4
307,209,2
308,210,1
309,210,2
310,211,2
311,211,3
312,212,2
313,213,2
314,214,2
315,214,5
316,215,1
317,216,2
318,217,2
319,218,2
320,219,2
321,219,4
322,220,1
323,220,2
324,221,4
325,222,2
326,222,4
327,223,2
328,223,4
329,224,1
330,225,1
331,225,2
332,226,2
333,227,2
334,227,3
335,228,2
336,228,3
337,229,2
338,230,1
339,231,2
340,232,1
341,232,3
342,233,2
343,233,5
344,234,2
345,234,3
346,235,2
347,236,2
348,237,1
349,237,2
350,238,1
351,238,2
352,239,1
353,239,4
354,240,2
355,240,3
356,241,2
