Zeit_ID,Jahr,Monat,Stunde,Wochentag
1,2018,1,0,Montag
2,2018,1,0,Dienstag
3,2018,1,0,Mittwoch
4,2018,1,0,Donnerstag
5,2018,1,0,Freitag
6,2018,1,0,Samstag
7,2018,1,0,Sonntag
8,2018,1,1,Montag
9,2018,1,1,Dienstag
10,2018,1,1,Mittwoch
11,2018,1,1,Donnerstag
12,2018,1,1,Freitag
13,2018,1,1,Samstag
14,2018,1,1,Sonntag
15,2018,1,2,Montag
16,2018,1,2,Dienstag
17,2018,1,2,Mittwoch
18,2018,1,2,Donnerstag
19,2018,1,2,Freitag
20,2018,1,2,Samstag
21,2018,1,2,Sonntag
22,2018,1,3,Montag
23,2018,1,3,Dienstag
24,2018,1,3,Mittwoch
25,2018,1,3,Donnerstag
26,2018,1,3,Freitag
27,2018,1,3,Samstag
28,2018,1,3,Sonntag
29,2018,1,4,Montag
30,2018,1,4,Dienstag
31,2018,1,4,Mittwoch
32,2018,1,4,Donnerstag
33,2018,1,4,Freitag
34,2018,1,4,Samstag
35,2018,1,4,Sonntag
36,2018,1,5,Montag
37,2018,1,5,Dienstag
38,2018,1,5,Mittwoch
39,2018,1,5,Donnerstag
40,2018,1,5,Freitag
41,2018,1,5,Samstag
42,2018,1,5,Sonntag
43,2018,1,6,Montag
44,2018,1,6,Dienstag
45,2018,1,6,Mittwoch
46,2018,1,6,Donnerstag
47,2018,1,6,Freitag
48,2018,1,6,Samstag
49,2018,1,6,Sonntag
50,2018,1,7,Montag
51,2018,1,7,Dienstag
52,2018,1,7,Mittwoch
53,2018,1,7,Donnerstag
54,2018,1,7,Freitag
55,2018,1,7,Samstag
56,2018,1,7,Sonntag
57,2018,1,8,Montag
58,2018,1,8,Dienstag
59,2018,1,8,Mittwoch
60,2018,1,8,Donnerstag
61,2018,1,8,Freitag
62,2018,1,8,Samstag
63,2018,1,8,Sonntag
64,2018,1,9,Montag
65,2018,1,9,Dienstag
66,2018,1,9,Mittwoch
67,2018,1,9,Donnerstag
68,2018,1,9,Freitag
69,2018,1,9,Samstag
70,2018,1,9,Sonntag
71,2018,1,10,Montag
72,2018,1,10,Dienstag
73,2018,1,10,Mittwoch
74,2018,1,10,Donnerstag
75,2018,1,10,Freitag
76,2018,1,10,Samstag
77,2018,1,10,Sonntag
78,2018,1,11,Montag
79,2018,1,11,Dienstag
80,2018,1,11,Mittwoch
81,2018,1,11,Donnerstag
82,2018,1,11,Freitag
83,2018,1,11,Samstag
84,2018,1,11,Sonntag
85,2018,1,12,Montag
86,2018,1,12,Dienstag
87,2018,1,12,Mittwoch
88,2018,1,12,Donnerstag
89,2018,1,12,Freitag
90,2018,1,12,Samstag
91,2018,1,12,Sonntag
92,2018,1,13,Montag
93,2018,1,13,Dienstag
94,2018,1,13,Mittwoch
95,2018,1,13,Donnerstag
96,2018,1,13,Freitag
97,2018,1,13,Samstag
98,2018,1,13,Sonntag
99,2018,1,14,Montag
100,2018,1,14,Dienstag
101,2018,1,14,Mittwoch
102,2018,1,14,Donnerstag
103,2018,1,14,Freitag
104,2018,1,14,Samstag
105,2018,1,14,Sonntag
106,2018,1,15,Montag
107,2018,1,15,Dienstag
108,2018,1,15,Mittwoch
109,2018,1,15,Donnerstag
110,2018,1,15,Freitag
111,2018,1,15,Samstag
112,2018,1,15,Sonntag
113,2018,1,16,Montag
114,2018,1,16,Dienstag
115,2018,1,16,Mittwoch
116,2018,1,16,Donnerstag
117,2018,1,16,Freitag
118,2018,1,16,Samstag
119,2018,1,16,Sonntag
120,2018,1,17,Montag
121,2018,1,17,Dienstag
122,2018,1,17,Mittwoch
123,2018,1,17,Donnerstag
124,2018,1,17,Freitag
125,2018,1,17,Samstag
126,2018,1,17,Sonntag
127,2018,1,18,Montag
128,2018,1,18,Dienstag
129,2018,1,18,Mittwoch
130,2018,1,18,Donnerstag
131,2018,1,18,Freitag
132,2018,1,18,Samstag
133,2018,1,18,Sonntag
134,2018,1,19,Montag
135,2018,1,19,Dienstag
136,2018,1,19,Mittwoch
137,2018,1,19,Donnerstag
138,2018,1,19,Freitag
139,2018,1,19,Samstag
140,2018,1,19,Sonntag
141,2018,1,20,Montag
142,2018,1,20,Dienstag
143,2018,1,20,Mittwoch
144,2018,1,20,Donnerstag
145,2018,1,20,Freitag
146,2018,1,20,Samstag
147,2018,1,20,Sonntag
148,2018,1,21,Montag
149,2018,1,21,Dienstag
150,2018,1,21,Mittwoch
151,2018,1,21,Donnerstag
152,2018,1,21,Freitag
153,2018,1,21,Samstag
154,2018,1,21,Sonntag
155,2018,1,22,Montag
156,2018,1,22,Dienstag
157,2018,1,22,Mittwoch
158,2018,1,22,Donnerstag
159,2018,1,22,Freitag
160,2018,1,22,Samstag
161,2018,1,22,Sonntag
162,2018,1,23,Montag
163,2018,1,23,Dienstag
164,2018,1,23,Mittwoch
165,2018,1,23,Donnerstag
166,2018,1,23,Freitag
167,2018,1,23,Samstag
168,2018,1,23,Sonntag
169,2018,2,0,Montag
170,2018,2,0,Dienstag
171,2018,2,0,Mittwoch
172,2018,2,0,Donnerstag
173,2018,2,0,Freitag
174,2018,2,0,Samstag
175,2018,2,0,Sonntag
176,2018,2,1,Montag
177,2018,2,1,Dienstag
178,2018,2,1,Mittwoch
179,2018,2,1,Donnerstag
180,2018,2,1,Freitag
181,2018,2,1,Samstag
182,2018,2,1,Sonntag
183,2018,2,2,Montag
184,2018,2,2,Dienstag
185,2018,2,2,Mittwoch
186,2018,2,2,Donnerstag
187,2018,2,2,Freitag
188,2018,2,2,Samstag
189,2018,2,2,Sonntag
190,2018,2,3,Montag
191,2018,2,3,Dienstag
192,2018,2,3,Mittwoch
193,2018,2,3,Donnerstag
194,2018,2,3,Freitag
195,2018,2,3,Samstag
196,2018,2,3,Sonntag
197,2018,2,4,Montag
198,2018,2,4,Dienstag
199,2018,2,4,Mittwoch
200,2018,2,4,Donnerstag
201,2018,2,4,Freitag
202,2018,2,4,Samstag
203,2018,2,4,Sonntag
204,2018,2,5,Montag
205,2018,2,5,Dienstag
206,2018,2,5,Mittwoch
207,2018,2,5,Donnerstag
208,2018,2,5,Freitag
209,2018,2,5,Samstag
210,2018,2,5,Sonntag
211,2018,2,6,Montag
212,2018,2,6,Dienstag
213,2018,2,6,Mittwoch
214,2018,2,6,Donnerstag
215,2018,2,6,Freitag
216,2018,2,6,Samstag
217,2018,2,6,Sonntag
218,2018,2,7,Montag
219,2018,2,7,Dienstag
220,2018,2,7,Mittwoch
221,2018,2,7,Donnerstag
222,2018,2,7,Freitag
223,2018,2,7,Samstag
224,2018,2,7,Sonntag
225,2018,2,8,Montag
226,2018,2,8,Dienstag
227,2018,2,8,Mittwoch
228,2018,2,8,Donnerstag
229,2018,2,8,Freitag
230,2018,2,8,Samstag
231,2018,2,8,Sonntag
232,2018,2,9,Montag
233,2018,2,9,Dienstag
234,2018,2,9,Mittwoch
235,2018,2,9,Donnerstag
236,2018,2,9,Freitag
237,2018,2,9,Samstag
238,2018,2,9,Sonntag
239,2018,2,10,Montag
240,2018,2,10,Dienstag
241,2018,2,10,Mittwoch
242,2018,2,10,Donnerstag
243,2018,2,10,Freitag
244,2018,2,10,Samstag
245,2018,2,10,Sonntag
246,2018,2,11,Montag
247,2018,2,11,Dienstag
248,2018,2,11,Mittwoch
249,2018,2,11,Donnerstag
250,2018,2,11,Freitag
251,2018,2,11,Samstag
252,2018,2,11,Sonntag
253,2018,2,12,Montag
254,2018,2,12,Dienstag
255,2018,2,12,Mittwoch
256,2018,2,12,Donnerstag
257,2018,2,12,Freitag
258,2018,2,12,Samstag
259,2018,2,12,Sonntag
260,2018,2,13,Montag
261,2018,2,13,Dienstag
262,2018,2,13,Mittwoch
263,2018,2,13,Donnerstag
264,2018,2,13,Freitag
265,2018,2,13,Samstag
266,2018,2,13,Sonntag
267,2018,2,14,Montag
268,2018,2,14,Dienstag
269,2018,2,14,Mittwoch
270,2018,2,14,Donnerstag
271,2018,2,14,Freitag
272,2018,2,14,Samstag
273,2018,2,14,Sonntag
274,2018,2,15,Montag
275,2018,2,15,Dienstag
276,2018,2,15,Mittwoch
277,2018,2,15,Donnerstag
278,2018,2,15,Freitag
279,2018,2,15,Samstag
280,2018,2,15,Sonntag
281,2018,2,16,Montag
282,2018,2,16,Dienstag
283,2018,2,16,Mittwoch
284,2018,2,16,Donnerstag
285,2018,2,16,Freitag
286,2018,2,16,Samstag
287,2018,2,16,Sonntag
288,2018,2,17,Montag
289,2018,2,17,Dienstag
290,2018,2,17,Mittwoch
291,2018,2,17,Donnerstag
292,2018,2,17,Freitag
293,2018,2,17,Samstag
294,2018,2,17,Sonntag
295,2018,2,18,Montag
296,2018,2,18,Dienstag
297,2018,2,18,Mittwoch
298,2018,2,18,Donnerstag
299,2018,2,18,Freitag
300,2018,2,18,Samstag
301,2018,2,18,Sonntag
302,2018,2,19,Montag
303,2018,2,19,Dienstag
304,2018,2,19,Mittwoch
305,2018,2,19,Donnerstag
306,2018,2,19,Freitag
307,2018,2,19,Samstag
308,2018,2,19,Sonntag
309,2018,2,20,Montag
310,2018,2,20,Dienstag
311,2018,2,20,Mittwoch
312,2018,2,20,Donnerstag
313,2018,2,20,Freitag
314,2018,2,20,Samstag
315,2018,2,20,Sonntag
316,2018,2,21,Montag
317,2018,2,21,Dienstag
318,2018,2,21,Mittwoch
319,2018,2,21,Donnerstag
320,2018,2,21,Freitag
321,2018,2,21,Samstag
322,2018,2,21,Sonntag
323,2018,2,22,Montag
324,2018,2,22,Dienstag
325,2018,2,22,Mittwoch
326,2018,2,22,Donnerstag
327,2018,2,22,Freitag
328,2018,2,22,Samstag
329,2018,2,22,Sonntag
330,2018,2,23,Montag
331,2018,2,23,Dienstag
332,2018,2,23,Mittwoch
333,2018,2,23,Donnerstag
334,2018,2,23,Freitag
335,2018,2,23,Samstag
336,2018,2,23,Sonntag
337,2018,3,0,Montag
338,2018,3,0,Dienstag
339,2018,3,0,Mittwoch
340,2018,3,0,Donnerstag
341,2018,3,0,Freitag
342,2018,3,0,Samstag
343,2018,3,0,Sonntag
344,2018,3,1,Montag
345,2018,3,1,Dienstag
346,2018,3,1,Mittwoch
347,2018,3,1,Donnerstag
348,2018,3,1,Freitag
349,2018,3,1,Samstag
350,2018,3,1,Sonntag
351,2018,3,2,Montag
352,2018,3,2,Dienstag
353,2018,3,2,Mittwoch
354,2018,3,2,Donnerstag
355,2018,3,2,Freitag
356,2018,3,2,Samstag
357,2018,3,2,Sonntag
358,2018,3,3,Montag
359,2018,3,3,Dienstag
360,2018,3,3,Mittwoch
361,2018,3,3,Donnerstag
362,2018,3,3,Freitag
363,2018,3,3,Samstag
364,2018,3,3,Sonntag
365,2018,3,4,Montag
366,2018,3,4,Dienstag
367,2018,3,4,Mittwoch
368,2018,3,4,Donnerstag
369,2018,3,4,Freitag
370,2018,3,4,Samstag
371,2018,3,4,Sonntag
372,2018,3,5,Montag
373,2018,3,5,Dienstag
374,2018,3,5,Mittwoch
375,2018,3,5,Donnerstag
376,2018,3,5,Freitag
377,2018,3,5,Samstag
378,2018,3,5,Sonntag
379,2018,3,6,Montag
380,2018,3,6,Dienstag
381,2018,3,6,Mittwoch
382,2018,3,6,Donnerstag
